method,dt,error
我们的方法（物理约束）,0.0001,2.0362010695533908e-10
我们的方法（物理约束）,0.00026826957952797245,1.5523040613596413e-09
我们的方法（物理约束）,0.0007196856730011522,9.473839436441734e-09
我们的方法（物理约束）,0.0019306977288832496,8.111158986788647e-08
我们的方法（物理约束）,0.005179474679231213,5.352712825958654e-07
我们的方法（物理约束）,0.013894954943731374,3.709991948800464e-06
我们的方法（物理约束）,0.03727593720314938,2.669630497033151e-05
我们的方法（物理约束）,0.1,0.0001894597385968223
传统显式方法,0.0001,4.944400106216575e-06
传统显式方法,0.00026826957952797245,1.3984566156640712e-05
传统显式方法,0.0007196856730011522,3.705063403087183e-05
传统显式方法,0.0019306977288832496,9.96654185547486e-05
传统显式方法,0.005179474679231213,0.00023793231053261457
传统显式方法,0.013894954943731374,0.0006422648259460393
传统显式方法,0.03727593720314938,0.002014368785359112
传统显式方法,0.1,0.0052481843605720726
传统隐式方法,0.0001,8.922732571306348e-06
传统隐式方法,0.00026826957952797245,2.2799862748428305e-05
传统隐式方法,0.0007196856730011522,5.4700143911657745e-05
传统隐式方法,0.0019306977288832496,0.00016470758878860445
传统隐式方法,0.005179474679231213,0.00042758366880950055
传统隐式方法,0.013894954943731374,0.001123600681342665
传统隐式方法,0.03727593720314938,0.0028623005592812657
传统隐式方法,0.1,0.008001112166022804
无物理约束,0.0001,4.7423020269252575e-05
无物理约束,0.00026826957952797245,0.00011557079853168502
无物理约束,0.0007196856730011522,0.0002573096602799736
无物理约束,0.0019306977288832496,0.0006403990945350908
无物理约束,0.005179474679231213,0.0013167591919740396
无物理约束,0.013894954943731374,0.0032421990901491454
无物理约束,0.03727593720314938,0.007511518762131061
无物理约束,0.1,0.016233507766728647
