model,metric,point,value
变物性模型,最大相对误差 (%),中心,4.181081166428046
传统常物性模型,最大相对误差 (%),中心,5.807202048018965
变物性模型,最大相对误差 (%),内中,4.294559109414201
传统常物性模型,最大相对误差 (%),内中,7.710190387652567
变物性模型,最大相对误差 (%),中间,7.807478522137709
传统常物性模型,最大相对误差 (%),中间,8.02405429280767
变物性模型,最大相对误差 (%),外中,7.112638157443874
传统常物性模型,最大相对误差 (%),外中,13.488800513241397
变物性模型,最大相对误差 (%),边缘,9.316241860257607
传统常物性模型,最大相对误差 (%),边缘,13.612034862511756
变物性模型,RMSE (单位),中心,3.3007326860619193
传统常物性模型,RMSE (单位),中心,4.904632418953923
变物性模型,RMSE (单位),内中,5.000480955532631
传统常物性模型,RMSE (单位),内中,4.596311675222837
变物性模型,RMSE (单位),中间,6.009049513938355
传统常物性模型,RMSE (单位),中间,8.026120351217035
变物性模型,RMSE (单位),外中,9.854643846251479
传统常物性模型,RMSE (单位),外中,11.43351114295294
变物性模型,RMSE (单位),边缘,8.034938324416984
传统常物性模型,RMSE (单位),边缘,12.113232469066755
变物性模型,峰值延迟 (s),中心,1.774910080861626
传统常物性模型,峰值延迟 (s),中心,4.828061621604729
变物性模型,峰值延迟 (s),内中,3.400635630775532
传统常物性模型,峰值延迟 (s),内中,7.172303010608588
变物性模型,峰值延迟 (s),中间,6.608381857384505
传统常物性模型,峰值延迟 (s),中间,8.144283792403172
变物性模型,峰值延迟 (s),外中,8.670723715567883
传统常物性模型,峰值延迟 (s),外中,11.025304573522558
变物性模型,峰值延迟 (s),边缘,8.906266888839582
传统常物性模型,峰值延迟 (s),边缘,13.14246193699171
变物性模型,边缘区域误差 (%),中心,3.505477993468538
传统常物性模型,边缘区域误差 (%),中心,4.724214627418723
变物性模型,边缘区域误差 (%),内中,4.0350298474771575
传统常物性模型,边缘区域误差 (%),内中,5.274159930859278
变物性模型,边缘区域误差 (%),中间,5.2499430308094635
传统常物性模型,边缘区域误差 (%),中间,6.286595411113739
变物性模型,边缘区域误差 (%),外中,8.837811111423527
传统常物性模型,边缘区域误差 (%),外中,11.392612810878877
变物性模型,边缘区域误差 (%),边缘,8.882978312721487
传统常物性模型,边缘区域误差 (%),边缘,12.477913561113784
变物性模型,中心区域误差 (%),中心,2.2090510372250645
传统常物性模型,中心区域误差 (%),中心,3.739252476031233
变物性模型,中心区域误差 (%),内中,4.523882660023788
传统常物性模型,中心区域误差 (%),内中,4.455021907158966
变物性模型,中心区域误差 (%),中间,7.002214485447153
传统常物性模型,中心区域误差 (%),中间,7.975074752575719
变物性模型,中心区域误差 (%),外中,9.79735706135094
传统常物性模型,中心区域误差 (%),外中,8.964736563536077
变物性模型,中心区域误差 (%),边缘,9.821143057425651
传统常物性模型,中心区域误差 (%),边缘,14.509270140954618
